month,exchange,quote_asset,base_asset,region,crypto_type,volume_usd,number_of_trades
2020-03-01,bitfinex,usd,trx,USD,Unbacked,3975529.1442290596,0.0
2020-03-01,bitfinex,usd,xlm,USD,Unbacked,3053017.9901021575,0.0
2020-03-01,bitfinex,usd,xmr,USD,Unbacked,18251824.05645321,0.0
2020-03-01,bitfinex,usd,xrp,USD,Unbacked,159371807.1424235,0.0
2020-03-01,bitfinex,usd,xtz,USD,Unbacked,69806785.81247684,0.0
2020-03-01,bitfinex,usd,zec,USD,Unbacked,19144179.969379704,0.0
2020-03-01,bitkub,thb,ada,EMDEs,Unbacked,297900.09737089305,0.0
2020-03-01,bitkub,thb,bch,EMDEs,Unbacked,2483993.935162584,0.0
2020-03-01,bitkub,thb,cvc,EMDEs,Unbacked,47010.085185895405,0.0
2020-03-01,bitkub,thb,knc,EMDEs,Unbacked,233042.620067204,0.0
2020-03-01,bitkub,thb,link,EMDEs,Unbacked,979244.8612981422,0.0
2020-03-01,bitkub,thb,mana,EMDEs,Unbacked,101789.92282665943,0.0
2020-03-01,bitkub,thb,snt,EMDEs,Unbacked,39001.28770557943,0.0
2020-03-01,bitkub,thb,xlm,EMDEs,Unbacked,1410124.030023369,0.0
2020-03-01,bitkub,thb,zrx,EMDEs,Unbacked,19104.12694377969,0.0
2020-03-01,bitstamp,eur,bch,AEs,Unbacked,50084096.162621245,0.0
2020-03-01,bitstamp,eur,btc,AEs,Unbacked,788363682.8613093,0.0
2020-03-01,bitstamp,eur,eth,AEs,Unbacked,179249304.50084803,0.0
2020-03-01,bitstamp,eur,ltc,AEs,Unbacked,54803354.35123552,0.0
2020-03-01,bitstamp,eur,xrp,AEs,Unbacked,231269694.86813694,0.0
2020-03-01,bitstamp,usd,bch,USD,Unbacked,167898784.14499542,0.0
2020-03-01,bitstamp,usd,btc,USD,Unbacked,2959532449.6280756,0.0
2020-03-01,bitstamp,usd,eth,USD,Unbacked,403527129.32633585,0.0
2020-03-01,bitstamp,usd,ltc,USD,Unbacked,110287402.77681783,0.0
2020-03-01,bitstamp,usd,xrp,USD,Unbacked,750368029.4836024,0.0
2020-03-01,coinbase,eur,bch,AEs,Unbacked,60638079.60551877,0.0
2020-03-01,coinbase,eur,btc,AEs,Unbacked,909328164.6805245,0.0
2020-03-01,coinbase,eur,eos,AEs,Unbacked,8660526.876911886,0.0
2020-03-01,coinbase,eur,etc,AEs,Unbacked,21113258.589619916,0.0
2020-03-01,coinbase,eur,eth,AEs,Unbacked,249840710.00373456,0.0
2020-03-01,coinbase,eur,ltc,AEs,Unbacked,70641565.42275244,0.0
2020-03-01,coinbase,eur,xlm,AEs,Unbacked,12782502.128239611,0.0
2020-03-01,coinbase,gbp,bch,AEs,Unbacked,18561735.918956567,0.0
2020-03-01,coinbase,gbp,btc,AEs,Unbacked,288647598.3451328,0.0
2020-03-01,coinbase,gbp,etc,AEs,Unbacked,7983573.406956051,0.0
2020-03-01,coinbase,gbp,eth,AEs,Unbacked,72705943.14970739,0.0
2020-03-01,coinbase,gbp,ltc,AEs,Unbacked,22135229.797140226,0.0
2020-03-01,coinbase,usd,algo,USD,Unbacked,44013247.88630519,0.0
2020-03-01,coinbase,usd,bch,USD,Unbacked,515061382.61676216,0.0
2020-03-01,coinbase,usd,btc,USD,Unbacked,6054851066.964271,0.0
2020-03-01,coinbase,usd,dash,USD,Unbacked,47493602.31628815,0.0
2020-03-01,coinbase,usd,eos,USD,Unbacked,62648952.10141791,0.0
2020-03-01,coinbase,usd,etc,USD,Unbacked,81699534.48390412,0.0
2020-03-01,coinbase,usd,eth,USD,Unbacked,1531833220.7700334,0.0
2020-03-01,coinbase,usd,knc,USD,Unbacked,211409849.34158322,0.0
2020-03-01,coinbase,usd,link,USD,Unbacked,582508733.5901866,0.0
2020-03-01,coinbase,usd,ltc,USD,Unbacked,460122254.6012862,0.0
2020-03-01,coinbase,usd,xlm,USD,Unbacked,68428761.54792571,0.0
2020-03-01,coinbase,usd,xtz,USD,Unbacked,361436589.4059923,0.0
2020-03-01,coinbase,usd,zrx,USD,Unbacked,33613076.2488919,0.0
2020-03-01,upbit,krw,ada,AEs,Unbacked,112849236.02913019,0.0
2020-03-01,upbit,krw,bat,AEs,Unbacked,13427286.992642732,0.0
2020-03-01,upbit,krw,bch,AEs,Unbacked,408972733.8921288,0.0
2020-03-01,upbit,krw,bsv,AEs,Unbacked,644902126.7673689,0.0
2020-03-01,upbit,krw,cvc,AEs,Unbacked,18462661.462126013,0.0
2020-03-01,upbit,krw,elf,AEs,Unbacked,11228606.405097105,0.0
2020-03-01,upbit,krw,etc,AEs,Unbacked,38353962.88527216,0.0
2020-03-01,upbit,krw,gas,AEs,Unbacked,6043754.469402401,0.0
2020-03-01,upbit,krw,knc,AEs,Unbacked,94281487.72759256,0.0
2020-03-01,upbit,krw,mana,AEs,Unbacked,22795107.890181083,0.0
2020-03-01,upbit,krw,neo,AEs,Unbacked,8626797.151512194,0.0
2020-03-01,upbit,krw,powr,AEs,Unbacked,28254984.438970488,0.0
2020-03-01,upbit,krw,snt,AEs,Unbacked,23148581.664231703,0.0
2020-03-01,upbit,krw,trx,AEs,Unbacked,92011502.13195127,0.0
2020-03-01,upbit,krw,xlm,AEs,Unbacked,19171764.94957131,0.0
2020-03-01,upbit,krw,xrp,AEs,Unbacked,862798710.7393624,0.0
2020-03-01,upbit,krw,zrx,AEs,Unbacked,6297740.194796646,0.0
2020-04-01,binance,eur,bnb,AEs,Unbacked,1038557.5465329371,11940.0
2020-04-01,binance,eur,btc,AEs,Unbacked,21134857.496133722,86054.0
2020-04-01,binance,eur,busd,AEs,Stablecoins,6112074.77660663,39906.0
2020-04-01,binance,eur,eth,AEs,Unbacked,4635454.319450658,29427.0
2020-04-01,binance,eur,usdt,AEs,Stablecoins,11621862.607329778,62057.0
2020-04-01,binance,eur,xrp,AEs,Unbacked,1027574.5443099618,8191.0
2020-04-01,binance,ngn,bnb,EMDEs,Unbacked,568721.3651551844,10134.0
2020-04-01,binance,ngn,btc,EMDEs,Unbacked,28616407.526096188,123644.0
2020-04-01,binance,ngn,busd,EMDEs,Stablecoins,17985083.297639646,366632.0
2020-04-01,binance,rub,bnb,EMDEs,Unbacked,385357.2120139025,8673.0
2020-04-01,binance,rub,btc,EMDEs,Unbacked,4715003.950500901,47720.0
2020-04-01,binance,rub,busd,EMDEs,Stablecoins,474406.07984850334,5298.0
2020-04-01,binance,rub,eth,EMDEs,Unbacked,1052087.2555941832,14196.0
2020-04-01,binance,rub,usdt,EMDEs,Stablecoins,4715036.7552830195,38852.0
2020-04-01,binance,rub,xrp,EMDEs,Unbacked,359040.63177922595,6921.0
2020-04-01,binance,try,bnb,EMDEs,Unbacked,1489976.545884194,17246.0
2020-04-01,binance,try,btc,EMDEs,Unbacked,9947924.637530886,49826.0
2020-04-01,binance,try,busd,EMDEs,Stablecoins,491472.6554472049,3267.0
2020-04-01,binance,try,eth,EMDEs,Unbacked,3120562.156662477,23480.0
2020-04-01,binance,try,usdt,EMDEs,Stablecoins,14635114.544063121,90220.0
2020-04-01,binance,try,xrp,EMDEs,Unbacked,1874786.0056530894,14898.0
2020-04-01,binance,zar,bnb,EMDEs,Unbacked,97461.74819534147,1445.0
2020-04-01,binance,zar,btc,EMDEs,Unbacked,1501547.3921730132,9739.0
2020-04-01,binance,zar,busd,EMDEs,Stablecoins,360325.2981419831,1963.0
2020-04-01,binance,zar,eth,EMDEs,Unbacked,347719.04567844287,2908.0
2020-04-01,binance,zar,usdt,EMDEs,Stablecoins,1311281.4064538416,4777.0
2020-04-01,bitfinex,eur,btc,AEs,Unbacked,197683244.90715554,0.0
2020-04-01,bitfinex,eur,eth,AEs,Unbacked,79735165.11130892,0.0
2020-04-01,bitfinex,eur,trx,AEs,Unbacked,415595.5424448772,0.0
2020-04-01,bitfinex,gbp,btc,AEs,Unbacked,22457218.97819872,0.0
2020-04-01,bitfinex,gbp,eth,AEs,Unbacked,3212414.2485816767,0.0
2020-04-01,bitfinex,usd,btc,USD,Unbacked,2300417754.3718786,0.0
2020-04-01,bitfinex,usd,eos,USD,Unbacked,103774081.30922045,0.0
2020-04-01,bitfinex,usd,etc,USD,Unbacked,13351179.440599307,0.0
2020-04-01,bitfinex,usd,eth,USD,Unbacked,634585424.251019,0.0
2020-04-01,bitfinex,usd,ltc,USD,Unbacked,57112547.415096104,0.0
2020-04-01,bitfinex,usd,neo,USD,Unbacked,10234209.626802249,0.0
2020-04-01,bitfinex,usd,trx,USD,Unbacked,2147456.0300107584,0.0
2020-04-01,bitfinex,usd,xlm,USD,Unbacked,2501386.5661198786,0.0
2020-04-01,bitfinex,usd,xmr,USD,Unbacked,7650315.489666715,0.0
2020-04-01,bitfinex,usd,xrp,USD,Unbacked,81026658.88432619,0.0
