month,region,crypto_type,volume_usd,total,pct
2020-01-01,AEs,Stablecoins,3769604.609588456,4125785501.7973247,0.09136695564871938
2020-01-01,AEs,Unbacked,4122015897.187736,4125785501.7973247,99.90863304435128
2020-01-01,EMDEs,Stablecoins,4256861.541373153,21053918.34439853,20.218856517536114
2020-01-01,EMDEs,Unbacked,16797056.803025376,21053918.34439853,79.78114348246389
2020-02-01,AEs,Stablecoins,7982129.311200961,5904079077.407695,0.13519685638603735
2020-02-01,AEs,Unbacked,5896096948.096494,5904079077.407695,99.86480314361395
2020-02-01,EMDEs,Stablecoins,12446545.641053494,39600678.54217398,31.430132258461573
2020-02-01,EMDEs,Unbacked,27154132.901120488,39600678.54217398,68.56986774153843
2020-03-01,AEs,Stablecoins,36139121.255539164,6064642997.057846,0.5958985759437352
2020-03-01,AEs,Unbacked,6028503875.802307,6064642997.057846,99.40410142405626
2020-03-01,EMDEs,Stablecoins,48301046.464785874,120749048.84423707,40.00118172946678
2020-03-01,EMDEs,Unbacked,72448002.3794512,120749048.84423707,59.99881827053323
2020-04-01,AEs,Stablecoins,17733937.38393641,4290225738.4370847,0.41335674309755144
2020-04-01,AEs,Unbacked,4272491801.0531483,4290225738.4370847,99.58664325690245
2020-04-01,EMDEs,Stablecoins,39972720.03687732,102579259.85016736,38.96764325972284
2020-04-01,EMDEs,Unbacked,62606539.81329004,102579259.85016736,61.03235674027715
2020-05-01,AEs,Stablecoins,38946881.900883354,5430774107.214348,0.7171515723540323
2020-05-01,AEs,Unbacked,5391827225.313464,5430774107.214348,99.28284842764596
2020-05-01,EMDEs,Stablecoins,88122743.4015994,182176056.99837053,48.3722970260508
2020-05-01,EMDEs,Unbacked,94053313.59677112,182176056.99837053,51.6277029739492
2020-06-01,AEs,Stablecoins,20097717.159194935,3264891751.6571283,0.6155707045721849
2020-06-01,AEs,Unbacked,3244794034.4979334,3264891751.6571283,99.38442929542781
2020-06-01,EMDEs,Stablecoins,39080393.914552286,142634072.95678374,27.399059077835584
2020-06-01,EMDEs,Unbacked,103553679.04223146,142634072.95678374,72.60094092216441
2020-07-01,AEs,Stablecoins,59676369.049984716,4544282924.192602,1.3132186099655672
2020-07-01,AEs,Unbacked,4484606555.142617,4544282924.192602,98.68678139003443
2020-07-01,EMDEs,Stablecoins,52724616.57612867,198106669.82857326,26.614256158943373
2020-07-01,EMDEs,Unbacked,145382053.2524446,198106669.82857326,73.38574384105662
2020-08-01,AEs,Stablecoins,115506781.31425461,8536069984.1181135,1.353161133040874
2020-08-01,AEs,Unbacked,8420563202.803859,8536069984.1181135,98.64683886695911
2020-08-01,EMDEs,Stablecoins,102520917.00974867,326301919.39460456,31.419035842620257
2020-08-01,EMDEs,Unbacked,223781002.3848559,326301919.39460456,68.58096415737974
2020-09-01,AEs,Stablecoins,134472607.76286665,6415157700.708885,2.096169946812176
2020-09-01,AEs,Unbacked,6280685092.946018,6415157700.708885,97.90383005318782
2020-09-01,EMDEs,Stablecoins,118130692.53518982,316083232.544824,37.37328664481993
2020-09-01,EMDEs,Unbacked,197952540.00963417,316083232.544824,62.626713355180065
2020-10-01,AEs,Stablecoins,153914462.7266535,4651774969.828254,3.308725459097952
2020-10-01,AEs,Unbacked,4497860507.101601,4651774969.828254,96.69127454090206
2020-10-01,EMDEs,Stablecoins,126344029.71742085,358634871.8039011,35.22915356276476
2020-10-01,EMDEs,Unbacked,232290842.08648026,358634871.8039011,64.77084643723525
2020-11-01,AEs,Stablecoins,802363492.9288977,21593397588.72156,3.7157815931105715
2020-11-01,AEs,Unbacked,20791034095.792664,21593397588.72156,96.28421840688944
2020-11-01,EMDEs,Stablecoins,272707217.7873974,742644793.2923676,36.721083922019346
2020-11-01,EMDEs,Unbacked,469937575.5049702,742644793.2923676,63.278916077980654
2020-12-01,AEs,Stablecoins,1192201188.7576969,28930270488.355656,4.120947259160795
2020-12-01,AEs,Unbacked,27738069299.597958,28930270488.355656,95.8790527408392
2020-12-01,EMDEs,Stablecoins,393488735.8982004,1173005349.7053053,33.545348791210266
2020-12-01,EMDEs,Unbacked,779516613.807105,1173005349.7053053,66.45465120878974
2021-01-01,AEs,Stablecoins,3518366081.420302,74567063621.77176,4.71839162028237
2021-01-01,AEs,Unbacked,71048697540.35146,74567063621.77176,95.28160837971762
